C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 52, col 120, Warning - 'appMode' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 55, col 10, Warning - 'demoUser' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 56, col 10, Warning - 'demoAuthenticated' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 57, col 10, Warning - 'userType' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 60, col 10, Warning - 'showResetPassword' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 60, col 29, Warning - 'setShowResetPassword' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 61, col 10, Warning - 'resetEmail' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 61, col 22, Warning - 'setResetEmail' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 63, col 10, Warning - 'autoLocationRequested' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 63, col 33, Warning - 'setAutoLocationRequested' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 64, col 10, Warning - 'showThemeModal' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 64, col 26, Warning - 'setShowThemeModal' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 65, col 10, Warning - 'showTermsModal' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
